date,site,species,no,stem.wt,dist.top,dist.btm,ht,dbh,dbh2,dbh3
23-Jun,mp,alninc,3,,6,3,,5,5.4,6.1
26-Jun,mp,alninc,4,,6,5,,8.1,6.4,
22-Jun,mp,alninc,5,,,,447.4,4,,
23-Jun,mp,alninc,6,,5,4,,5.9,4.8,2.4
23-Jun,mp,alninc,7,,7,5,,5.3,5.8,4
23-Jun,mp,alninc,8,,6,,,7.4,5.1,3.4
22-Jun,mp,alninc,9,,,,464.8,2.7,,
22-Jun,mp,alninc,10,,9,7,,6.8,5.9,8.5
22-Jun,mp,alnrub,5,,12,9,,25.7,,
22-Jun,mp,alnrub,6,,5,4,,5.3,,
22-Jun,mp,alnrub,7,,8,5,,8,,
25-Jun,mp,alnvir,1,,,,338.6,1.7,1.7,2
25-Jun,mp,alnvir,2,,,,491.1,3.7,3.1,3.3
25-Jun,mp,alnvir,3,,,,252.4,2.4,2.5,2
26-Jun,mp,alnvir,4,,,,474,9.1,,
26-Jun,mp,alnvir,5,,,,377.6,3,2.1,1.7
22-Jun,mp,alnvir,6,,8,7,,6.5,,
22-Jun,mp,alnvir,7,,,,513.8,6,5.2,5.1
22-Jun,mp,alnvir,8,,,,285.1,1.321,,
25-Jun,mp,alnvir,9,,,,336.4,2.743,7.978,
26-Jun,mp,alnvir,10,,,,663.8,7.2,10.6,9.6
23-Jun,mp,amealn,1,,,,142.6,1.308,1.324,1.721
25-Jun,mp,amealn,2,,,,45.8,1.374,1.529,1.738
23-Jun,mp,amealn,3,,,,282.6,1.917,2.21,
23-Jun,mp,amealn,4,,,,192.1,1.416,1.342,0.965
25-Jun,mp,amealn,5,,,,198.2,1.776,,
25-Jun,mp,amealn,6,,,,280.3,2.205,3.361,2.652
25-Jun,mp,amealn,7,,,,228.9,2.524,3.555,2.519
23-Jun,mp,amealn,8,,,,246.4,1.915,1.953,1.72
23-Jun,mp,amealn,9,,,,224.8,3.767,2.676,3.091
23-Jun,mp,amealn,10,,,,297.4,3.107,,
25-Jun,mp,amealn,11,,,,441.4,2.4,2.6,2.7
22-Jun,mp,amealn,12,,,,406.8,3.4,,
23-Jun,mp,corsto,1,,,,186.4,0.833,,
26-Jun,mp,corsto,2,,,,384.6,1.442,0.91,1.092
26-Jun,mp,corsto,3,,,,297.1,3.665,,
23-Jun,mp,corsto,5,,,,371.3,2.717,,
22-Jun,mp,corsto,6,,,,273.6,1.77,,
22-Jun,mp,corsto,7,,,,231.1,1.129,,
22-Jun,mp,corsto,8,,,,111.7,1.987,,
22-Jun,mp,corsto,9,,,,202.3,2.021,,
22-Jun,mp,corsto,10,,,,347.8,1.574,1.605,1.762
25-Jun,mp,corsto,20,,,,424.8,3.336,1.879,
23-Jun,mp,loninv,3,,,,147.6,1.643,,
25-Jun,mp,loninv,4,,,,164.6,1.421,1.308,
25-Jun,mp,loninv,5,,,,119.3,1.285,,
25-Jun,mp,loninv,6,,,,99.7,1.17,1.262,1.044
25-Jun,mp,loninv,7,,,,228.1,0.961,,
25-Jun,mp,loninv,8,,,,105.2,0.918,0.83,1.072
23-Jun,mp,loninv,9,,,,160,2.275,,
23-Jun,mp,loninv,10,,,,111.1,0.655,,
26-Jun,mp,loninv,11,,,,241.6,1.834,,
26-Jun,mp,loninv,12,,,,288.1,1.431,,
26-Jun,mp,loninv,13,,,,170.7,1.214,,
22-Jun,mp,menfer,1,,,,159.3,1.383,,
26-Jun,mp,menfer,2,,,,166.9,1.77,1.768,1.593
23-Jun,mp,menfer,4,,,,109.7,2.753,1.886,1.882
26-Jun,mp,menfer,5,,,,89.3,0.888,,
26-Jun,mp,menfer,6,,,,119.2,1.367,1.451,1.357
26-Jun,mp,menfer,7,,,,204.9,2.154,1.363,1.866
22-Jun,mp,menfer,8,,,,224.8,1.73,,
22-Jun,mp,menfer,9,,,,154.7,1.393,,
22-Jun,mp,menfer,10,,,,182.3,1.399,,
23-Jun,mp,menfer,10,,,,196.3,1.674,,
25-Jun,mp,menfer,12,,,,280.2,2.475,1.811,1.853
23-Jun,mp,popbal,6,,20,16,,23.7,,
23-Jun,mp,popbal,7,,31,24,,28.2,27.9,28.9
26-Jun,mp,popbal,8,,21,15,,42.2,34.1,
26-Jun,mp,popbal,9,,20,13,,46.6,,
26-Jun,mp,popbal,10,,22,14,,37.8,,
22-Jun,mp,popbal,11,,21,13,,39.4,,
25-Jun,mp,popbal,12,,31,25,,52.9,,
26-Jun,mp,popbal,13,,44,29,,91.9,,
26-Jun,mp,popbal,14,,37,20,,54.9,,
26-Jun,mp,popbal,15,,27,17,,22,,
23-Jun,mp,poptre,5,,10,7,,15.5,,
23-Jun,mp,poptre,6,,5,3,,4.7,,
23-Jun,mp,poptre,7,,13,10,,10.5,,
25-Jun,mp,poptre,7,,17,9,,9.4,23.6,21
25-Jun,mp,poptre,8,,15,8,,20,,
25-Jun,mp,poptre,9,,7,6,,6.6,,
25-Jun,mp,poptre,10,,14,10,,14,,
23-Jun,mp,poptre,11,,6,3,,4.6,,
25-Jun,mp,poptre,12,,20,16,,23.5,25.6,
25-Jun,mp,poptre,13,,10,8,,13.4,,
26-Jun,mp,rhoalb,1,,,,114.5,1.291,1.328,1.079
23-Jun,mp,rhoalb,2,,,,95.5,0.943,0.977,0.545
23-Jun,mp,rhoalb,3,,,,188.6,1.487,,
23-Jun,mp,rhoalb,4,,,,172,1.53,,
23-Jun,mp,rhoalb,5,,,,168.6,1.204,,
22-Jun,mp,rhoalb,8,,,,225.3,2.074,2.23,1.48
22-Jun,mp,rhoalb,9,,,,144.1,1.339,,
22-Jun,mp,rhoalb,10,,,,149.2,1.128,,
26-Jun,mp,rhoalb,11,,,,150.6,2.873,1.675,2.495
26-Jun,mp,rhoalb,12,,,,190.5,1.171,2.133,1.531
25-Jun,mp,riblac,1,,,,92.4,0.715,,
22-Jun,mp,riblac,2,,,,74.5,0.563,,
25-Jun,mp,riblac,3,,,,117.7,0.839,,
25-Jun,mp,riblac,4,,,,127.5,1.086,,
26-Jun,mp,riblac,5,,,,183,0.772,,
25-Jun,mp,riblac,6,,,,179,0.879,,
23-Jun,mp,riblac,7,,,,76.8,0.633,,
25-Jun,mp,riblac,8,,,,95.5,0.572,,
23-Jun,mp,riblac,10,,,,93,0.76,,
22-Jun,mp,riblac,11,,,,104.1,0.784,,
25-Jun,mp,rosaci,1,,,,76.1,0.743,,
22-Jun,mp,rosaci,2,,,,52.6,0.668,,
25-Jun,mp,rosaci,3,,,,86.9,0.665,,
22-Jun,mp,rosaci,4,,,,88.3,0.43,,
22-Jun,mp,rosaci,5,,,,106.1,0.879,,
22-Jun,mp,rosaci,6,,,,85.4,0.854,,
23-Jun,mp,rosaci,7,,,,103.2,0.868,,
23-Jun,mp,rosaci,8,,,,113.1,1.228,,
23-Jun,mp,rosaci,9,,,,129.4,0.915,,
25-Jun,mp,rosaci,10,,,,186.6,11.2,,
22-Jun,mp,rosgym,1,,,,147.4,0.754,,
22-Jun,mp,rosgym,2,,,,124.3,0.853,,
25-Jun,mp,rosgym,3,,,,75.5,1.285,,
26-Jun,mp,rosgym,4,,,,110.6,0.694,,
26-Jun,mp,rosgym,5,,,,106.4,0.601,,
26-Jun,mp,rosgym,6,,,,145.3,9.7,,
26-Jun,mp,rosgym,7,,,,170.6,0.718,0.759,0.565
26-Jun,mp,rosgym,8,,,,158,0.783,,
26-Jun,mp,rosgym,9,,,,129.8,0.603,,
22-Jun,mp,rosgym,10,,,,146,0.917,0.653,
23-Jun,mp,rubpar,1,,,,87.4,0.544,,
25-Jun,mp,rubpar,2,,,,101.5,8.28,,
23-Jun,mp,rubpar,3,,,,60.7,0.474,,
23-Jun,mp,rubpar,4,,,,71.2,0.638,,
23-Jun,mp,rubpar,5,,,,64.3,0.697,,
26-Jun,mp,rubpar,6,,,,168.7,1.374,,
22-Jun,mp,rubpar,7,,,,68.9,0.572,,
26-Jun,mp,rubpar,7,,,,121.8,0.818,,
26-Jun,mp,rubpar,8,,,,94.7,0.572,,
22-Jun,mp,rubpar,9,,,,110,0.687,,
22-Jun,mp,rubpar,10,,,,97.1,0.661,,
26-Jun,mp,rubspe,1,,,,137.1,0.875,,
25-Jun,mp,rubspe,3,,,,123.1,1.008,,
25-Jun,mp,rubspe,4,,,,109.8,0.694,,
25-Jun,mp,rubspe,5,,,,166.2,1.192,,
25-Jun,mp,rubspe,6,,,,102.1,0.866,,
25-Jun,mp,rubspe,8,,,,212.1,1.025,,
26-Jun,mp,rubspe,9,,,,120.1,0.805,,
26-Jun,mp,rubspe,10,,,,179.9,1.128,,
26-Jun,mp,rubspe,11,,,,106.4,0.579,,
26-Jun,mp,rubspe,12,,,,200.2,1.226,,
26-Jun,mp,rubspe,13,,,,153,0.877,,
26-Jun,mp,rubspe,14,,,,190.2,1.313,1.418,
25-Jun,mp,samrac,1,,,,220.6,4.866,,
25-Jun,mp,samrac,2,,,,177.6,3.977,1.992,3.29
26-Jun,mp,samrac,3,,,,310,2.866,,
26-Jun,mp,samrac,4,,,,441,2.597,,
26-Jun,mp,samrac,5,,,,525.3,8.2,6.3,
25-Jun,mp,samrac,6,,,,111.1,1.027,1.68,1.695
23-Jun,mp,samrac,7,,,,284.6,2.208,,
26-Jun,mp,samrac,8,,,,264,1.45,0.942,0.554
26-Jun,mp,samrac,9,,,,286.7,2.349,,
26-Jun,mp,samrac,10,,,,332.2,1.625,1.63,2.083
26-Jun,mp,samrac,11,,,,384.1,1.993,1.6,1.597
23-Jun,mp,shecan,2,,,,136,2.271,1.192,1.427
22-Jun,mp,shecan,3,,,,317,2.86,,
22-Jun,mp,shecan,4,,,,109.5,0.879,0.801,1.029
23-Jun,mp,shecan,5,,,,152.6,3.899,,
23-Jun,mp,shecan,6,,,,150.3,1.374,1.122,1.033
23-Jun,mp,shecan,7,,,,159.3,2.479,2,1.823
25-Jun,mp,shecan,8,,,,80,1.923,,
25-Jun,mp,shecan,9,,,,138.2,1.958,,
22-Jun,mp,shecan,10,,,,123.4,1.894,,
26-Jun,mp,shecan,11,,,,139,0.977,0.944,0.443
23-Jun,mp,sorsco,1,,,,195.4,2.027,1.705,1.72
25-Jun,mp,sorsco,3,,,,123.2,2.04,1.33,1.297
25-Jun,mp,sorsco,4,,,,190.8,2.062,,
26-Jun,mp,sorsco,8,,,,325.6,2,2.9,
26-Jun,mp,sorsco,10,,,,256.8,3.132,3.178,2.553
25-Jun,mp,sorsco,11,,3,5,,6.1,,
25-Jun,mp,sorsco,12,,,,255,2.635,3.419,2.95
26-Jun,mp,sorsco,12,,,,401.1,3,2.1,
26-Jun,mp,sorsco,13,,,,363.3,3.3,,
26-Jun,mp,sorsco,14,,,,177.2,1.892,,
25-Jun,mp,spibet,1,,,,26.1,0.319,,
23-Jun,mp,spibet,2,,,,49.4,0.328,,
25-Jun,mp,spibet,3,,,,57,0.343,,
23-Jun,mp,spibet,4,,,,45,0.341,,
23-Jun,mp,spibet,5,,,,67.5,0.3,,
23-Jun,mp,spibet,6,,,,42.1,0.286,,
23-Jun,mp,spibet,7,,,,67.1,0.476,,
22-Jun,mp,spibet,8,,,,60.8,0.332,,
22-Jun,mp,spibet,9,,,,63.6,0.36,,
23-Jun,mp,spibet,10,,,,42.9,0.428,,
22-Jun,mp,spidou,1,,,,109.4,0.788,,
22-Jun,mp,spidou,2,,,,109.1,0.652,,
22-Jun,mp,spidou,3,,,,119,0.682,,
22-Jun,mp,spipyr,1,,,,132.1,0.735,,
22-Jun,mp,spipyr,2,,,,85.2,0.511,,
22-Jun,mp,spipyr,3,,,,36.5,0.774,,
22-Jun,mp,spipyr,4,,,,144.6,0.938,,
22-Jun,mp,spipyr,5,,,,99.7,0.616,,
22-Jun,mp,spipyr,6,,,,143.8,1.134,,
22-Jun,mp,spipyr,7,,,,131.2,1.091,,
22-Jun,mp,spipyr,8,,,,125.4,0.848,,
26-Jun,mp,spipyr,9,,,,84.9,0.815,,
26-Jun,mp,spipyr,10,,,,120,0.635,,
23-Jun,mp,symalb,1,,,,101.5,0.65,,
25-Jun,mp,symalb,3,,,,100.3,0.701,,
26-Jun,mp,symalb,4,,,,109.2,0.582,,
25-Jun,mp,symalb,5,,,,78,0.616,,
23-Jun,mp,symalb,6,,,,109.6,0.532,,
25-Jun,mp,symalb,7,,,,97.5,0.584,,
25-Jun,mp,symalb,8,,,,146.1,1.114,,
22-Jun,mp,symalb,9,,,,74,0.804,,
22-Jun,mp,symalb,10,,,,77,0.636,,
26-Jun,mp,symalb,11,,,,100.3,0.687,0.778,0.768
26-Jun,mp,vacmem,1,,,,101,0.874,,
23-Jun,mp,vacmem,3,,,,102.7,1.202,1.169,
23-Jun,mp,vacmem,4,,,,108.2,1.297,,
23-Jun,mp,vacmem,5,,,,82.5,0.737,,
25-Jun,mp,vacmem,5,,,,99.2,0.821,,
25-Jun,mp,vacmem,7,,,,113.3,0.952,,
26-Jun,mp,vacmem,8,,,,70.1,0.662,,
26-Jun,mp,vacmem,8,,,,106.9,1.771,,
23-Jun,mp,vacmem,9,,,,53,0.417,,
22-Jun,mp,vacmem,11,,,,86.5,0.869,,
23-Jun,mp,vacmem,12,,,,83.9,0.714,,
23-Jun,mp,vibedu,2,,,,232.6,1.22,,
23-Jun,mp,vibedu,4,,,,161.5,10.5,,
26-Jun,mp,vibedu,5,,,,431,3.931,,
22-Jun,mp,vibedu,7,,,,217.2,1.75,,
26-Jun,mp,vibedu,8,,,,172.3,1.086,,
22-Jun,mp,vibedu,9,,,,133.1,0.879,,
22-Jun,mp,vibedu,10,,,,260.4,1.248,,
23-Jun,mp,vibedu,12,,,,146.1,1.087,,
26-Jun,mp,vibedu,13,,,,256.1,1.306,,
26-Jun,mp,vibedu,14,,,,261,1.183,2.084,
30-May,sm,acegla,2,,10,7,,0.524,,
04-Jun,sm,acegla,3,,7,6,,16.1,9.7,12.6
01-Jun,sm,acegla,7,,10,5,,7.1,,
01-Jun,sm,acegla,8,,14,7,,1.26,,
29-May,sm,acegla,9,,11,13,,5,,
29-May,sm,acegla,10,,11,12,,24,29.9,14.9
30-May,sm,acegla,11,,7,6,,2.2,,
01-Jun,sm,acegla,13,,11,8,,13.6,10.6,4.5
01-Jun,sm,acegla,14,,9,7,,0.65,,
01-Jun,sm,acegla,15,,16,12,,9.9,,
01-Jun,sm,alninc,1,,9,8,,6.1,,
03-Jun,sm,alninc,1,,8,6,,7.5,,
01-Jun,sm,alninc,2,,9,7,,8.5,,
01-Jun,sm,alninc,3,,7,6,,6.4,,
01-Jun,sm,alninc,4,,10,7,,6.2,,
01-Jun,sm,alninc,5,,12,8,,7.3,8.3,3.4
30-May,sm,alninc,8,,9,6,,26.9,15.7,11.9
05-Jun,sm,alninc,19,,7,3,,7.5,6.5,5.3
05-Jun,sm,alninc,20,,11,7,,10.9,7.3,6.5
30-May,sm,alnvir,1,,11,8,,26.4,22.2,24.1
03-Jun,sm,alnvir,1,,6,5,,6.4,3.7,2.4
03-Jun,sm,alnvir,2,,,,4.13,2.1,2.4,2
03-Jun,sm,alnvir,2,,7,6,,4.5,3.1,3.1
04-Jun,sm,alnvir,6,,,,296.3,1.221,1.234,1.123
30-May,sm,alnvir,7,,10,7,,26.7,16.8,8.3
29-May,sm,alnvir,8,,6,7,,3.5,4.1,3.5
03-Jun,sm,alnvir,9,,5,4.18,,5.8,5.3,6.9
03-Jun,sm,alnvir,10,,,,5.22,5,5.7,6.2
05-Jun,sm,alnvir,16,,,,407.9,3.8,3.2,3
05-Jun,sm,alnvir,17,,5,2,,3.7,3.4,3
05-Jun,sm,alnvir,18,,,,445.2,3.1,3.5,3.6
04-Jun,sm,alnvir,19,,,,331.7,3.445,3.62,2.934
04-Jun,sm,alnvir,20,,7,7,,6.5,5.9,5.4
31-May,sm,amealn,1,,9,7,,6.7,6.3,8.6
29-May,sm,amealn,2,,,,293,2.04,,
31-May,sm,amealn,3,,6,5,,3,3,3
31-May,sm,amealn,4,,4,3,,3.1,,
31-May,sm,amealn,5,,9,8,,3.4,,
31-May,sm,amealn,6,,12,10,,5.1,4.3,4.1
31-May,sm,amealn,7,,4,3,,3.3,,
29-May,sm,amealn,9,,,,353.5,2.39,,
29-May,sm,amealn,10,,,,215.1,1.66,,
29-May,sm,amelan,8,,,,320.2,2.48,,
31-May,sm,betpap,1,,12,7,,19,,
30-May,sm,betpap,2,,15,10,,8.6,,
30-May,sm,betpap,4,,15,11,,16.9,,
01-Jun,sm,betpap,5,,13,8,,12.7,,
01-Jun,sm,betpap,6,,14,17,,12.9,,
30-May,sm,betpap,7,,17,15,,27.3,,
29-May,sm,betpap,8,,13,17,,30.1,,
29-May,sm,betpap,9,,13,17,,21.3,,
29-May,sm,betpap,10,,14,18,,21.9,,
29-May,sm,betpap,13,,7,9,,13.1,,
01-Jun,sm,betpap,7_2,,15,8,,1.92,,
30-May,sm,corsto,2,,,,107.4,0.879,,
30-May,sm,corsto,3,,,,150,1.214,,
30-May,sm,corsto,4,,,,181.7,1.261,,
30-May,sm,corsto,5,,,,143,0.873,,
01-Jun,sm,corsto,6,,,,191,1.704,,
01-Jun,sm,corsto,7,,,,265.5,1.415,,
01-Jun,sm,corsto,8,,,,192.5,1.316,,
01-Jun,sm,corsto,10,,,,226.6,2,,
29-May,sm,corsto,11,,,,300.2,2.26,,
01-Jun,sm,corsto,12,,,,266,2.005,,
01-Jun,sm,corsto,13,,,,199.5,1.383,,
01-Jun,sm,corsto,14,,,,250.5,1.707,,
31-May,sm,loninv,1,,,,176.7,1.464,,
31-May,sm,loninv,2,,,,142.5,0.902,,
01-Jun,sm,loninv,3,,,,119.7,0.978,,
03-Jun,sm,loninv,4,,,,131.6,1.612,,
04-Jun,sm,loninv,5,,,,221.4,2.573,,
29-May,sm,loninv,6,,,,215.1,2.01,,
30-May,sm,loninv,7,,,,190.2,1.245,,
30-May,sm,loninv,8,,,,134.2,0.902,,
30-May,sm,loninv,9,,,,183.4,1.398,,
04-Jun,sm,loninv,11,,,,152.1,2.317,,
,sm,menfer,2,888.5,,,,,,
03-Jun,sm,menfer,4,676.6,,,160.3,1.935,1.685,1.637
03-Jun,sm,menfer,6,825.7,,,189.5,1.233,0.997,0.934
03-Jun,sm,menfer,7,,,,200.6,1.78,1.255,1.323
03-Jun,sm,menfer,8,1072.9,,,277.6,2.532,1.865,2.672
03-Jun,sm,menfer,9,,,,267.5,3.023,3.151,2.584
04-Jun,sm,menfer,10,547.7,,,109.5,1.382,1.372,0.939
04-Jun,sm,menfer,11,482.4,,,217.2,1.529,1.663,1.468
04-Jun,sm,menfer,12,555.2,,,221.4,1.847,1.72,1.98
04-Jun,sm,menfer,13,656.7,,,203.8,1.813,1.592,1.434
04-Jun,sm,menfer,14,562.8,,,178.9,2.498,1.839,1.784
30-May,sm,popbal,1,,,,317.6,2,,
04-Jun,sm,popbal,3,,24,16,,37,,
04-Jun,sm,popbal,5,,28,38,,88.9,,
04-Jun,sm,popbal,6,,22,14,,53.2,,
30-May,sm,popbal,8,,12,10,,11.1,,
04-Jun,sm,popbal,9,,25,12,,53.4,,
01-Jun,sm,popbal,10,,16,7,,15.9,,
04-Jun,sm,popbal,11,,15,8,,12.8,23.3,
04-Jun,sm,popbal,12,,16,11,,25.5,24.4,23.3
04-Jun,sm,popbal,20,,24,16,,28.2,,
04-Jun,sm,poptre,2,1623.6,13,11,,10.7,,
04-Jun,sm,poptre,3,1844,8,6,,7.2,,
04-Jun,sm,poptre,4,1804.7,17,12,,26,8.8,119.2
04-Jun,sm,poptre,5,1337.7,8,7,,9.5,,
31-May,sm,poptre,7,1987,7,5,,7.2,,
31-May,sm,poptre,10,,9,7,,9.8,,
31-May,sm,poptre,11,2393.3,8,6,,10.9,,
31-May,sm,poptre,12,2452,7,5,,13.7,,
31-May,sm,poptre,13,2815.2,14,8,,27.4,,
31-May,sm,poptre,14,3319.3,9,7,,15.9,,
03-Jun,sm,poptre,15,2162.9,9,8,,8,,
03-Jun,sm,poptre,16,1924.1,13,8,,17.1,,
03-Jun,sm,poptre,17,1389.9,7,4,,7.5,,
04-Jun,sm,poptre,18,1298.3,7,5,,5.9,,
04-Jun,sm,poptre,19,1455.1,10,8,,12.6,,
31-May,sm,rhoalb,1,,8,7,,3.4,,
30-May,sm,rhoalb,2,,5,3,,2.6,,
30-May,sm,rhoalb,3,,10,8,,4.7,,
30-May,sm,rhoalb,4,,10,7,,6,,
31-May,sm,rhoalb,5,,8,7,,3.5,,
31-May,sm,rhoalb,6,,6,5,,4.5,,
31-May,sm,rhoalb,7,,4,3,,4.5,,
31-May,sm,rhoalb,8,,6,4,,4.6,,
31-May,sm,rhoalb,9,,5,3,,6.4,,
31-May,sm,rhoalb,10,,8,7,,5.1,,
31-May,sm,riblac,2,,,,156.2,1.591,1.392,3.043
31-May,sm,riblac,3,,,,191,1.315,1.479,1.553
03-Jun,sm,riblac,5,,,,145.2,1.021,,
03-Jun,sm,riblac,6,,,,113.4,0.838,,
03-Jun,sm,riblac,7,,,,148.3,0.816,,
04-Jun,sm,riblac,8,883.7,,,55.6,0.577,0.703,0.831
31-May,sm,riblac,9,,,,148.3,0.678,,
04-Jun,sm,riblac,10,1145.3,,,112.8,0.613,,
03-Jun,sm,riblac,11,1547.8,,,94.8,0.706,,
03-Jun,sm,riblac,12,811.6,,,102.6,0.934,,
04-Jun,sm,riblac,12_2,757.9,,,75.7,0.597,,
31-May,sm,rosaci,1,1329.8,,,188.1,1.566,,
31-May,sm,rosaci,2,1705.3,,,218.1,2.29,,
01-Jun,sm,rosaci,3,741.8,,,130,0.755,,
29-May,sm,rosaci,4,659.7,,,161.2,1.5,,
31-May,sm,rosaci,5,2217.8,,,250.1,1.64,,
01-Jun,sm,rosaci,6,434.6,,,137,1.177,,
29-May,sm,rosaci,7,1125.9,,,160,1.43,,
29-May,sm,rosaci,8,819.3,,,197.2,1.88,,
29-May,sm,rosaci,9,1052.3,,,184.2,1.97,,
29-May,sm,rosaci,10,1293.8,,,174.5,1.4,,
05-Jun,sm,rosaci,20,483,,,173.4,1.119,,
03-Jun,sm,rubpar,1,521.8,,,86.7,0.87,,
03-Jun,sm,rubpar,2,306.9,,,99.3,0.723,,
03-Jun,sm,rubpar,3,599.9,,,90.3,0.703,,
29-May,sm,rubpar,4,554.7,,,94.1,0.7,,
29-May,sm,rubpar,5,1014.9,,,102.3,0.92,,
30-May,sm,rubpar,6,831.3,,,78.9,0.65,,
29-May,sm,rubpar,7,1194.9,,,88.8,,,
01-Jun,sm,rubpar,8,447.8,,,73.7,0.647,,
01-Jun,sm,rubpar,9,689.1,,,79.5,0.602,,
29-May,sm,rubpar,10,843.2,,,66.4,,,
31-May,sm,rubspe,1,845.1,,,104.4,0.694,,
31-May,sm,rubspe,2,573.1,,,88.9,0.528,,
04-Jun,sm,rubspe,5,679.7,,,100.1,0.637,,
31-May,sm,rubspe,6,597.2,,,106.5,0.665,,
31-May,sm,rubspe,7,717.9,,,100.4,0.53,,
31-May,sm,rubspe,8,661.9,,,93.7,0.544,,
31-May,sm,rubspe,9,727.7,,,105,0.593,,
31-May,sm,rubspe,10,639.5,,,90,0.575,,
03-Jun,sm,rubspe,11,566.1,,,195.5,0.808,,
03-Jun,sm,rubspe,12,1347.5,,,137.3,0.825,,
03-Jun,sm,samrac,2,714.3,,,276.1,2.857,4.518,4.988
04-Jun,sm,samrac,3,351.5,,,186.4,3.244,,
03-Jun,sm,samrac,4,886,,,187,3.972,,
03-Jun,sm,samrac,5,545.1,,,185.4,1.916,3.356,
03-Jun,sm,samrac,6,627.8,,,180.6,2.554,1.941,1.938
03-Jun,sm,samrac,7,513,,,207.5,4.739,3.948,2.963
04-Jun,sm,samrac,8,791.2,,,209.6,3.018,2.132,2.739
04-Jun,sm,samrac,9,710.5,,,44.8,1.843,1.948,
04-Jun,sm,samrac,10,696.9,,,279,3.973,3.728,3.201
04-Jun,sm,samrac,11,852.8,,,276,2.535,3.319,2.42
30-May,sm,shecan,1,900.2,,,124.6,2.468,,
05-Jun,sm,shecan,5,1109.5,,,127.9,1.483,1.26,1.311
01-Jun,sm,shecan,6,1685.6,,,135.7,2.627,,
01-Jun,sm,shecan,7,1191.4,,,181.2,1.935,,
01-Jun,sm,shecan,8,1363.9,,,137.6,2.125,,
01-Jun,sm,shecan,9,1288.5,13,8,,3.968,,
01-Jun,sm,shecan,10,1152.6,,,224.6,3.436,,
01-Jun,sm,shecan,11,850.9,,,164.3,1.768,,
01-Jun,sm,shecan,12,1432.1,,,121.5,1.241,,
05-Jun,sm,shecan,16,753.4,,,173.5,26.7,,
30-May,sm,sorsco,1,,,,555.8,3.8,,
30-May,sm,sorsco,4,,,,200.4,1.74,,
01-Jun,sm,sorsco,5,,,,229.7,1.738,,
03-Jun,sm,sorsco,6,,,,449.6,2.1,,
01-Jun,sm,sorsco,7,,6,5,,2.628,,
04-Jun,sm,sorsco,9,,9,8,,6.1,6.9,6.6
04-Jun,sm,sorsco,10,,,,270.6,3.7,5.6,4.8
01-Jun,sm,sorsco,11,,7,6,,6.3,,
03-Jun,sm,sorsco,12,,,,333.8,2.9,4,
04-Jun,sm,sorsco,12_02,,5,3,,3.7,5.7,3.5
29-May,sm,spibet,1,,,,48.9,,,
29-May,sm,spibet,2,,,,50.6,,,
29-May,sm,spibet,3,,,,58.2,,,
29-May,sm,spibet,4,,,,55.4,,,
29-May,sm,spibet,5,,,,65.9,,,
29-May,sm,spibet,6,,,,77.1,,,
29-May,sm,spibet,7,,,,90.5,,,
29-May,sm,spibet,8,,,,64.7,,,
29-May,sm,spibet,9,,,,61.7,,,
29-May,sm,spibet,10,,,,75.5,,,
31-May,sm,spidou,1,,,,73.5,0.654,,
31-May,sm,spidou,2,,,,96.5,0.772,,
31-May,sm,spidou,3,,,,73.1,0.553,,
31-May,sm,spidou,4,,,,91.4,0.925,,
31-May,sm,spidou,5,,,,94.8,0.894,,
31-May,sm,spidou,6,,,,77.1,0.86,,
31-May,sm,spidou,7,,,,55.5,0.483,,
31-May,sm,spidou,8,,,,57.3,0.435,,
31-May,sm,spidou,9,,,,63.9,0.568,,
31-May,sm,spidou,10,,,,93.6,0.832,,
01-Jun,sm,spipyr,1,,,,101.2,0.838,,
01-Jun,sm,spipyr,2,,,,87.1,0.674,,
01-Jun,sm,spipyr,3,,,,99.6,0.82,,
01-Jun,sm,spipyr,4,,,,67.7,0.562,,
01-Jun,sm,spipyr,5,,,,90.7,0.647,,
01-Jun,sm,spipyr,6,,,,96.1,0.585,,
01-Jun,sm,spipyr,7,,,,72.8,0.625,,
01-Jun,sm,spipyr,8,,,,11.5,0.658,,
01-Jun,sm,spipyr,9,,,,136.3,0.972,,
01-Jun,sm,spipyr,10,,,,104.5,0.513,,
04-Jun,sm,symalb,2,,,,155.2,1.607,1.718,1.932
29-May,sm,symalb,4,,,,139.3,1.14,,
31-May,sm,symalb,5,,,,105.1,1.099,,
31-May,sm,symalb,6,,,,138.7,1.217,,
30-May,sm,symalb,7,,,,149,1.176,0.956,
01-Jun,sm,symalb,8,,,,128.4,1.178,,
31-May,sm,symalb,9,,,,113.7,0.915,,
29-May,sm,symalb,11,,,,127.1,1.27,,
01-Jun,sm,symalb,12,,,,108.5,0.735,,
04-Jun,sm,symalb,12_02,,,,87.6,0.748,,
04-Jun,sm,symalb,9_02,,,,160.2,1.511,1.069,1.261
03-Jun,sm,vacmem,1,,,,68.9,0.73,,
03-Jun,sm,vacmem,2,,,,76.1,0.785,,
03-Jun,sm,vacmem,3,,,,64.6,0.692,,
03-Jun,sm,vacmem,4,,,,75.8,0.846,,
03-Jun,sm,vacmem,5,,,,55.6,0.665,,
03-Jun,sm,vacmem,6,,,,59.5,0.475,,
03-Jun,sm,vacmem,7,,,,47,0.44,,
04-Jun,sm,vacmem,8,,,,60.9,0.748,,
